200
5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 
108 57 45 165 144 
142
x 161.40701 x 36.38428 101.08498 x 141.7057 143.80961 x x 138.04317 x 194.24034 76.75047 116.47907 153.11025 x x 213.12531 x 145.31933 163.48659 57.80022 88.19975 163.77831 x 154.26087 x 19.21711 118.80832 x x 228.92537 41.09444 120.28445 x x 34.8898 154.12482 x x 11.34556 x x x 140.30246 52.46791 157.08652 x 151.63974 151.14716 138.20512 144.13132 x x 167.72258 158.76821 215.67202 52.16884 x x x 208.28241 x 90.98591 x 15.98747 147.20747 x x 182.65558 163.43266 x 36.60521 153.15682 x x 182.67767 206.77997 122.92851 200.27665 135.02373 x 148.43491 x x x 152.92876 x 215.22017 135.65214 x 116.44846 x 186.96993 x 146.27848 138.87398 186.64217 x x x 138.56761 x 62.47872 130.15669 x x 208.28795 52.30255 92.59752 200.69942 172.78451 x 139.14965 x 107.89038 x 59.59272 151.3758 123.74263 x 131.26925 x 107.081 65.30258 184.36961 x 177.94465 113.80638 x x x x x 123.17542 x 162.11927 x 156.84924 x 133.68884 79.89336 x x 38.31915 170.73021 x x x x 182.41844 127.73583 x x x x 74.97155 x 183.51526 95.00904 159.47644 x 133.51045 x x 126.79168 x x 14.69301 x 9.63879 x x x x 96.30643 x 120.16507 x 166.00999 71.8856 x 77.1365 x 115.19644 x x 92.35815 82.03924 x 68.32656 x x 94.41679 190.12446 x 127.60905 x x 
161.40701 x x x x x 150.77237 18.66868 41.73254 134.60932 x 128.96905 60.81757 92.87062 x x 162.68892 140.89417 103.13102 x x 117.02662 110.33347 81.79985 x 157.35676 80.10738 x x 50.30562 x x 135.92895 x x x x x 7.75583 x x x x 70.83895 90.93742 x 114.4067 116.02455 141.50711 x x 24.64679 98.06062 x 56.61943 36.04963 x x 154.3571 x 120.60072 105.31632 128.97369 85.99418 x x x 189.95166 105.89526 x x 58.88695 x 143.75657 47.28612 49.75268 84.38174 x 148.46344 x x x 153.65937 x x 47.16549 85.49778 90.66965 x x 28.99357 175.05368 x x x 155.6383 143.85162 176.24109 x x x 79.45284 110.62011 x 134.15282 79.98269 72.05481 180.90106 x x x 140.08505 17.28934 x x x x 86.4755 x 95.96116 x x x x 82.75762 175.96198 x x x x 54.69213 156.79198 147.41611 x 146.46156 54.25414 x 158.36507 61.48704 9.50326 x x x 99.43889 x 137.44918 x 191.54984 146.542 127.78645 x x x x x x x x x 98.49715 x 29.75376 x x x 118.17256 117.22499 61.22913 x x x x x x 30.16583 140.4029 x x x x x x x 102.15579 x x x x x x x x x 14.33632 76.09815 x x x x x 
x x x x 51.30824 x x 29.33365 60.6925 96.71389 x 91.35467 67.82397 x x 37.4814 x 105.62901 96.25524 122.81518 x 82.08627 86.79891 x 80.68585 x 48.73927 110.41836 113.40974 51.25385 x x x 108.39307 25.40809 159.95174 x x x 110.29679 55.46053 134.8064 x x 78.78003 x 75.99551 79.18923 x 141.21306 55.60743 x x x x 75.08617 x 123.12071 x 67.29017 97.8763 96.22911 x 44.66371 x x 113.28735 x 64.75758 x 109.49746 x 115.35959 x x 32.54858 39.99233 118.96427 x 42.20322 x 15.03755 125.00254 67.18368 x 90.03512 42.42829 x x 107.31033 x 130.90984 108.93824 x 102.47148 x 101.50084 131.06146 x x x x x 117.34787 90.03511 37.71395 76.65697 137.15567 95.0468 95.80972 x 113.11901 x 120.71416 163.83643 70.83786 26.0894 x x 60.1884 x 47.15867 x x 36.31694 131.66573 x 116.65707 x x x 111.89466 102.42571 122.1925 x 7.86823 x x x x x x 117.25529 60.85411 x 97.50152 79.11338 145.11631 x x 113.18566 x 87.81259 x 74.05538 x x x x 76.87217 x 32.55352 x x 116.21983 x x x x x x x x x 32.79006 x 76.24056 x x 107.90491 x x x 87.77752 x 36.67472 x 60.97148 47.00128 68.20686 33.58268 x x 41.35746 x 77.78224 x 153.51251 x 120.9691 
36.38428 x x x x x 108.19009 116.84199 119.85781 5.04751 x 124.81688 161.30522 65.95292 84.20788 118.4674 89.52962 x 177.6272 65.16886 x 127.15949 51.88863 x 146.34747 117.49138 x x x x x x 192.62859 x 94.35326 108.57844 x x x 16.06613 x x 105.24322 x x x 20.86418 120.78145 x 122.87159 x 110.94352 x x 118.46024 x 124.88254 179.35718 x x 160.59095 x 171.90676 x 54.60289 96.87376 x x x x 146.87169 x 154.35655 53.68042 x 87.32705 87.02644 147.56781 x x 164.23145 106.11044 x 130.17147 66.93726 x x x x 179.02531 x 118.55846 85.29169 115.66008 x 63.31125 x x x x 70.0488 x 102.25293 42.27594 x x 105.06125 x x x x x x 183.54794 118.49383 78.45098 x x x 115.09883 103.45655 x 117.5259 x 71.87437 51.83501 x 24.37325 143.02993 x 160.21399 100.64135 x x 14.92731 x 169.46749 x x x x x x x x 4.58723 x x 45.69059 48.83058 x x x x x 137.77934 x x x x x 128.77878 x x x x x x x x 73.78641 36.41681 72.29657 x x x x 118.34042 x x x 39.90672 x x x 92.10105 149.24837 111.06766 56.89565 x 129.8079 61.87081 x 123.59957 x x x x x x 
101.08498 x 51.30824 x x 99.87718 64.5402 80.20775 103.86775 x x 65.49741 103.39223 84.6429 38.45909 57.45021 66.63527 x 113.54963 x x 64.44192 85.52154 31.41059 x x 54.63379 95.26495 x x 54.78031 x 127.85377 x 66.81844 108.72127 39.72986 x x x x 104.97522 91.55099 69.84153 95.11601 x x x 66.58786 x x x 43.22243 x 60.0522 124.13401 65.93165 116.23343 67.92649 x 96.09562 x 107.50498 x x x x x 37.45096 60.787 87.75401 69.94436 95.08367 x 65.03319 x x x x 22.66088 103.1575 66.03346 x x 128.74771 139.94995 x 51.96767 x 114.16368 x 85.40787 59.01275 x 88.50182 120.00515 62.48658 83.0756 x x x 104.4304 40.4647 70.85987 x 31.16962 107.4887 x x 92.35421 x 101.99633 x x 113.03705 89.14005 26.15685 x 47.52597 50.30265 x x x x x 85.06798 x 89.10382 88.63338 x x 65.2244 55.21011 117.1843 x 43.53238 x 80.37208 43.21099 x x x x 42.76684 82.26102 x 128.1511 93.8105 x 95.32543 x x x 61.52875 x x x x x x x 79.34243 x x x 22.74894 x x x x x x x 100.48199 x 89.87759 x x x 57.24037 x x x 97.9106 110.42433 x x x 13.04577 x x 89.15901 x x x x 74.11431 102.42699 x x 
x x x x 99.87718 x 53.27519 x x x 145.58339 89.8579 x x 137.82031 140.43141 33.2792 129.89571 171.18871 x 182.69972 103.27068 162.28067 x 227.62169 53.28669 128.72205 152.93394 121.8538 185.91667 60.98708 x 164.44697 x x x 119.44181 x 188.76293 x 101.57296 x x x x x 120.41747 x 107.94796 24.98624 x 173.9994 106.50948 x x 223.94223 150.89133 137.63194 87.19019 183.42345 135.41544 x x 112.75642 x x x x 114.64691 105.56812 x 153.0393 x 166.94282 x x 111.77277 x x 109.68904 116.84222 164.88633 x 212.1901 x x 121.41856 x x x x x 40.9697 x 113.42089 x 63.61864 23.41908 207.26751 126.62124 48.36511 x x 75.25428 87.93841 117.35812 x x 161.82124 x x x 194.89673 148.63534 17.57195 x 125.95009 x x 112.87865 x x 209.64199 x x 75.29997 x 129.8652 83.53195 x 186.95542 41.80773 x x x x 172.11219 63.05609 x x 103.07131 86.50028 x x 158.49615 109.51732 x x x x x x x x x x 235.14751 x x x x 172.82247 22.40416 17.64919 x x 80.61151 139.35925 102.10776 132.72021 124.43019 131.36858 182.22505 x x x 188.23386 205.82756 83.35237 56.61687 x 76.06627 x x x 172.13273 223.45907 198.50278 x x x 170.42845 x x 129.44592 x x x x x 
141.7057 150.77237 x 108.19009 64.5402 53.27519 x 136.00552 165.79979 112.8544 99.50652 x x 147.70386 97.25366 90.36443 31.40721 125.95634 118.08822 x 139.66117 50.02371 145.28791 95.80388 187.76913 9.51959 77.41761 146.48474 x 151.18664 61.12195 x x x 128.2514 73.38203 x 119.48361 144.42447 x 72.31306 140.74853 x x x 122.2568 104.93562 45.57438 105.27322 35.78931 65.87568 131.53934 55.42084 84.09806 97.93502 182.26433 100.77673 89.57839 x 131.27548 83.33657 113.77977 91.3552 64.88276 x x x 42.02899 93.95795 52.32346 50.45625 102.31972 56.79194 160.40212 106.69351 130.02623 67.25086 44.53034 x 65.03946 69.51943 121.99691 x 173.54297 x x x 66.78374 x 105.83166 147.86777 24.64028 28.88883 159.13439 62.6204 x 10.46845 29.93902 x 115.23574 71.47299 168.95266 x 84.89265 x 70.80537 171.94688 101.21138 108.85049 150.58143 52.79946 x x 99.12144 70.6807 153.33401 x 72.42264 x 60.88406 68.57005 91.8226 175.78466 166.8491 x 93.48703 x 130.51069 39.04429 112.41642 135.21383 13.6826 74.62692 92.74331 101.76854 99.73923 118.84664 x 89.28532 154.83844 82.47879 37.10072 69.8889 102.4738 141.67869 x x 66.87928 153.45507 x 71.1567 115.27091 20.38845 x x 79.72274 192.09848 67.08984 132.59128 85.76223 47.71628 125.02948 x 69.40536 13.56833 x 34.11544 x 48.83374 131.17377 x 137.55742 162.91476 x x 56.56875 161.72977 x 40.02849 58.71431 181.5376 x 179.30542 x 120.70546 x 181.18956 163.21103 x 68.26705 x x 148.61871 x 96.12724 179.54518 45.0921 x 19.67243 99.89859 
143.80961 18.66868 29.33365 116.84199 80.20775 x 136.00552 x 38.93296 116.31437 37.81402 117.24094 65.34014 78.22245 41.75118 56.0267 145.95955 123.00948 103.79062 129.68603 3.67283 106.40566 94.6284 63.13276 53.42065 x 70.18427 122.75187 132.52744 39.49545 x 135.70553 134.59869 117.60139 23.64613 188.92592 68.4163 109.94367 10.91616 132.07126 82.90467 152.64618 37.59127 x 89.10603 14.09646 95.98397 104.5379 122.97995 x 79.50844 5.9785 85.50726 x 47.5457 x 50.13167 x 135.68917 64.81599 115.2286 x 124.6673 72.04883 90.40693 147.2996 131.43465 174.09581 87.25057 x 133.41338 53.12821 138.56049 128.01307 39.0701 32.99368 68.85908 x 141.66323 71.06406 139.44066 x 137.16643 x 156.67229 x 66.8696 79.9023 142.86954 119.74861 20.01287 159.92106 138.24771 32.97269 124.22857 140.22953 129.77423 160.33843 42.95256 104.73701 159.52156 69.91978 x 143.19882 115.52836 65.50611 64.40717 162.23929 105.36506 103.62722 136.67135 133.20579 29.55785 136.21369 193.04847 69.45693 54.28981 76.49271 114.83017 84.65471 182.76902 x 56.62951 154.94908 65.29416 157.33023 40.56013 134.349 143.47636 32.95719 x 141.10183 128.88629 139.25817 127.85932 37.18461 90.01913 145.16241 47.54094 19.14072 92.31468 99.36788 144.6767 80.93995 94.20751 118.93427 50.42275 173.84119 130.12356 111.95066 140.34888 63.03901 116.87189 140.00474 75.21105 87.17709 56.24034 x 30.90283 93.09146 113.57875 26.88698 181.38499 189.11733 145.35344 100.04657 102.03967 49.82504 104.51659 129.65778 55.70797 148.8104 94.14456 x 15.758 131.32816 71.70143 46.70972 97.21124 x 45.86672 x 156.23297 88.8019 94.66829 31.77191 45.1956 43.7502 74.37381 x 27.42273 88.67698 x 12.55955 57.45629 50.15383 120.474 182.60597 x 136.31674 
