50
49
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 
39
x 37.52596 19.43923 33.34044 14.20609 x 34.29153 17.76616 34.14481 x 40.23247 29.7092 50.60408 25.6024 x x 16.89755 25.69549 41.55909 26.21131 0.82647 x x x x x x 37.22364 x x x x x 36.30227 23.29737 12.03306 25.65394 38.41089 x 19.23607 22.31805 29.25828 x 6.48473 x 33.17094 31.22547 6.64375 38.71808 9.34534 
37.52596 x 22.68698 5.81237 23.33924 x 6.84945 20.06082 32.16228 16.96459 x 18.46405 29.43049 14.8655 x 29.97271 x x x 29.87612 x 24.36306 x x x x x x x 20.48548 x x x x 21.82875 38.72032 22.31221 16.6993 13.49634 x 15.26431 16.53681 6.94358 x 12.06047 x x x x 28.25059 
19.43923 22.68698 x 20.96692 10.48604 x x x x 37.46336 x 10.27109 x 7.94578 37.27152 18.34651 x 6.30699 x 30.29164 18.89221 15.708 30.59495 10.77932 19.28556 x x 19.13121 21.20539 x 15.04691 x 16.82085 18.74728 22.22256 26.97205 6.64998 31.48548 11.80956 9.27759 11.82768 x x 24.96397 13.98842 15.78179 23.77105 25.1659 x x 
33.34044 5.81237 20.96692 x 19.19997 3.84496 2.07139 16.69975 33.55002 16.52018 x x x x x 24.98711 38.88399 20.51534 10.76149 24.07503 32.53166 x 9.70199 28.81589 40.18444 x 7.83925 x x 17.18951 x 19.28269 22.65451 x x x 22.3195 12.76258 9.88925 x 11.18085 17.43896 11.4479 x x x 7.94175 36.05274 x 24.30675 
14.20609 23.33924 10.48604 19.19997 x x 20.2808 x 28.58752 34.1719 27.1506 19.07252 x 12.99205 32.85642 8.45684 x x x 20.2406 x 25.67628 x x 24.58392 23.54774 19.67089 23.96386 24.97065 x x 9.00491 25.62927 x 13.12319 x 16.85439 25.93695 9.85905 x x 17.869 30.14019 x x x x x 26.28996 x 
x x x 3.84496 x x 3.95814 x x 14.38137 11.08235 x 32.81362 16.29966 15.53725 28.83202 x x x 27.2128 36.28683 x x 32.23085 x 41.70569 x 12.56731 44.84136 x x 22.22732 22.87845 x x x x x x 32.89619 x 18.82608 x x x 11.03614 x 39.89167 x x 
34.29153 6.84945 x 2.07139 20.2808 3.95814 x 18.12415 x x 9.43117 x 35.73685 x 14.77191 25.52146 40.52291 x 11.63691 23.25792 x x x 30.22611 41.90812 x x x x x 34.31043 21.0303 24.67057 33.60492 x 33.67698 x 10.74603 x x 12.44855 19.5078 x 36.48041 16.10108 x x x x x 
17.76616 20.06082 x 16.69975 x x 18.12415 x 25.08732 32.61539 26.0747 x 35.80367 8.48896 x x x 11.83565 23.85127 23.17363 17.02687 x x x x x 18.91557 19.68303 x 0.52599 22.18465 5.34908 x x x x 12.92781 x x 15.53083 x 13.37734 x x 15.38365 15.50073 x x x x 
34.14481 32.16228 x 33.55002 28.58752 x x 25.08732 x 49.07657 45.04728 13.99719 20.91306 x x x x x x x x x x x x x x 23.85974 x x x x x x x x x 45.99835 x x x x x x x x x x x x 
x 16.96459 37.46336 16.52018 34.1719 14.38137 x 32.61539 49.07657 x x 35.22764 x 30.42118 x x x 36.78783 18.56928 x x x x x x x 14.89859 x x 33.13216 48.2516 35.73843 36.7509 x x x x 10.46222 26.0167 46.72056 26.84234 x x 48.65687 x x x x x x 
40.23247 x x x 27.1506 11.08235 9.43117 26.0747 45.04728 x x 31.05179 43.74495 x x x x 31.89325 x 22.4574 39.40694 x 6.8287 37.82197 50.39062 x x 23.64917 51.52166 26.5998 43.71949 x 33.80273 42.96801 18.01934 36.92866 x 3.52575 x x 20.31013 x 14.63188 x 25.37531 21.76104 x 41.29327 x x 
